airtable_id,type,timestamp,operator,station,fields_json,lots
recdSyLXue4RAEhTb,Inoculated,2026-04-12T20:55:14.605Z,,Inoculation,"{""source_lot_id"":""recYIEaSeNv7Wjcpv"",""source_category"":""lc_flask"",""volume_ml"":0.25,""operator"":"""",""target_lot_id"":""LOT-260327-zgZT""}",
recdc23xbU280KyuF,Harvest,2026-04-15T20:28:37.833Z,,Harvest,"{""created_product_ids"":[""rec8BW2fk334ocsfW"",""recGKdMxSa8xicpsi""],""harvest_weight_g"":304.28,""flush_no"":2,""fresh_tray_count"":0,""frozen_tray_count"":2,""total_trays"":2,""per_tray_weight_g"":152.14}",
recdpvdt3LlNBtquU,Sterilized,2026-03-24T13:17:23.986Z,system,Sterilizer OUT,"{""run_id"":""recOSF8bNk5Sq0Acf"",""run_no"":""RUN-260324-0Acf"",""process_type"":""sterilize"",""unit_size"":2}",
recdxiR6dXmfF5bGy,Sterilized,2026-03-24T13:17:23.986Z,system,Sterilizer OUT,"{""run_id"":""recOSF8bNk5Sq0Acf"",""run_no"":""RUN-260324-0Acf"",""process_type"":""sterilize"",""unit_size"":2}",
rece00ecFA3Khb4iY,Sterilized,2026-02-28T18:29:00.000Z,Robert,Sterilizer OUT,"{""run_id"":""rec0JC7G8fTAXxlJZ"",""run_no"":""RUN-260228-xlJZ"",""process_type"":""sterilize"",""unit_size"":7.5}",
receZeGTQAKY9BM6J,Sterilized,2026-02-28T18:29:00.000Z,Robert,Sterilizer OUT,"{""run_id"":""rec0JC7G8fTAXxlJZ"",""run_no"":""RUN-260228-xlJZ"",""process_type"":""sterilize"",""unit_size"":7.5}",
recectIdjdsnI5Q51,FullyColonized,2026-03-27T20:19:46.380Z,,Dark Room,{},
recefbJdyGjRAyNdW,Sterilized,2026-02-28T18:29:00.000Z,Robert,Sterilizer OUT,"{""run_id"":""rec0JC7G8fTAXxlJZ"",""run_no"":""RUN-260228-xlJZ"",""process_type"":""sterilize"",""unit_size"":7.5}",
recehBRhEFezAHSQW,Consumed,,,Spawn to Bulk,"{""consumed_by_lot_ids"":[""rec0X4oROd1UPrHoX"",""recaAsiHFT9lHNR9I"",""recfIjuQaSOisb3B2""]}",
receizmLgJD6zKbPS,Consumed,,,Spawn to Bulk,"{""consumed_by_lot_ids"":[""recDWhdMkom9xBmKX"",""recSSKbs49OlsuPQp"",""recOVaEWop5v4J2h0""]}",
recejflesnOfGuDrA,SpawnedToBulk,,,Spawn to Bulk,"{""grain_input_ids"":[""recBCPOYW3sNIBW1v""],""substrate_input_ids"":[""recsshF9dIWKoeLdr"",""recGHILLo2SQorGSB""],""per_output_unit_size_lb"":8.5,""output_item_code"":""FB-MM75-LG"",""output_index"":1,""output_count"":2}",
recew8G7dnebAmlVD,SpawnedToBulk,,,Spawn to Bulk,"{""grain_input_ids"":[""rechP7fXl9hiMAEit""],""substrate_input_ids"":[""recGnWGF3f92zXBrN"",""recvQYPEs7URQGP0M"",""reclq4McHJH7t1NRT""],""per_output_unit_size_lb"":1.6666666666666667,""output_item_code"":""FB-MM75-SM"",""output_index"":1,""output_count"":6}",
